job_position,job_company,job_address,job_salary,job_welfare,job_year,job_education,company_num,company_business,job_detail
48,推广/数据流量专员（带薪13天年假+准上市+五险一金）,深圳市升学文化传播有限公司,深圳-龙岗区,0.8-1万/月,带薪年假/免费班车/五险一金/绩效奖金/全勤奖/节日福利/专业培训/加班补贴,1年经验,大专,1000-5000人,"教育/培训/院校,学术/科研","【岗位职责】
1.熟练使用百度信息流、vivo、搜狗、360、广点通等网络推广平台特性及后台使用。 
2.负责各大网络平台账户的优化与日常维护，及时调整推广策略。 
3.负责监控和研究竞争对手及其他网站相关策略，制定竞争对抗策略。
4.每日/周/月统计账户数据报告，分析报告得出结论，制定推广策略。 
5.结合各部门数据结论反馈，调账推广策略，提高优化各项相关指标。
【任职要求】
1.本科及以上学历优先，工作经验一年左右优先；
2.了解市场营销、消费心理学、广告学等网络营销相关理论；
3.敏锐的市场洞察力，对数据敏感，有较强的数据分析能力；
4.较强的思维逻辑能力、沟通表达能力、团队合作能力。
【公司简介】
升学教育集团创建于2011年，是一家专注于成人学历提升的互联网教育培训机构。我们的服务涵盖了自学考试、成人高考、远程教育、国家开放大学等学历提升咨询和考前培训。经过8年的沉淀与发展，建立了令人瞩目的标准化课程体系和卓越的师资队伍，为广大学员创造学习机会和圆梦平台。
集团下辖深圳市升学文化传播有限公司、深圳市升学教育培训中心、深圳聚合在线教育科技有限公司、 深圳市博学教育培训中心、深圳乐学影视传媒有限公司等五大品牌机构。 
先后与暨南大学、广东科技学院、广州南洋理工职业学院等广东省知名院校达成战略合作，并获得市政府重点项目“深圳市全民素质提升计划”的授权，开展多项政府合作的培训项目。
截止2017年，升学教育版图已覆盖深圳、广州、东莞、佛山、珠海、顺德、中山、惠州、江门、 厦门、福州、上海、杭州、南京、重庆、成都、西安、乌鲁木齐、郑州、合肥等21个城市35个分校，学习平台累计服务学员达10万余人。
【团队规模】
集团目前团队人数近3000人，集结来自IBM、百度、华为、联想、金蝶、新东方等知名企业高管团队。教师团队硕士学历比例50%，接近300名教学运营团队为学员提供精细化教学服务，100多名中高级IT研发团队不断研发和迭代最新、***的互联网在线产品，曾多次荣获深圳教育三好单位和深圳区域最受用户关注教育品牌等荣誉。
"
49,推广/数据流量专员,升学教育集团,深圳-龙岗区,6-8千/月,五险一金/专业培训/绩效奖金/年终奖金/弹性工作/免费提升学历/免费班车,1年经验,本科,1000-5000人,"教育/培训/院校,互联网/电子商务","【主要职责】
1.熟练使用百度、搜狗、360、神马等网络推广平台特性及后台使用。
2.负责各大搜索引擎竞价账户的优化与日常维护，及时调整推广策略。
3.负责监控和研究竞争对手及其他网站相关策略，制定竞争对抗策略。
4.每日/周/月统计账户数据报告，分析报告得出结论，制定推广策略。
5.结合各部门数据结论反馈，调账推广策略，提高优化各项相关指标。
【任职要求】
1.本科及以上学历优先，工作经验一年左右优先；
2.了解市场营销、消费心理学、广告学等网络营销相关理论；
3.敏锐的市场洞察力，对数据敏感，有较强的数据分析能力；
4.较强的思维逻辑能力、沟通表达能力队合作能力。
薪资6-10k
欢迎主动投递简历，可以优先安排面试！
"
50,数据机房设计,江苏艾斯尔信息科技有限公司,南京-雨花台区,0.6-1.2万/月,五险一金/绩效奖金/节日福利,3-4年经验,本科,少于50人,"计算机服务(系统、数据服务、维修),计算机软件","、
负责弱电智能化工程中的数据中心机房工程（机房装饰工程、机房电气工程、机房弱电工程、机房微气候环境工程、防雷接地工程）的总体方案设计并撰写相关技术文档。负责对本专业工程师的设计进行指导和审核，包括方案、图纸，清单。
、
负责项目当中的本专业系统的产品的选型、配置；接受行政上级委派指导工程部项目施工，赴现场解决相应的故障难点及进行针对性的培训。
、
与客户沟通，做出正确的需求分析。并且负责本系统方案的讲解，使客户能很好的理解设计意图。能与系统的产品和服务供应商进行良好的沟通，使其做好相关协助工作。
、
熟悉弱电项目投标及其管理流程，能很好的配合公司商务做好投标文件，负责本专业标书现场讲解及招
投标答疑。
、
负责本专业的团队建设，协助部门建设，能及时更新专业领域所需的国内外标准、以及相关技术。并且负责与弱电智能化其他专业系统的衔接。
、
负责部门内部项目记录更新，并且搜集数据中心机房工程的相关产品信息以及归档。
、
在行政上级的领导下，做好公司内部的本专业培训工作。
、
了解数据中心交换、路由、防火墙、以及
储存的技术方案及部署方式与特点。具备与其配套的综合布线系统独立规划能力，熟悉相关设计流程。
、
具有机房选址及平面布局规划能力，熟悉机房常用装饰装修方案及设计流程。
、
具有数据中心输配电系统一次方案规划能力，熟悉电气系统设计流程及相关技能（电力系统参数设计、电缆选型设计、选择性配合保护设计、照明设计、电器选型）。对主流低压配电电器、保护电器、执行电器和主令电器有一定的了解。
、
具有数据中心弱电工程方案规划能力，包括安全防范子系统、环境和设备监控子系统，火灾自动报警子系统、基础设施管理子系统等。熟悉常用系统的产品化解决方案与设计流程。
、
具有数据中心微气候环境调节方案规划能力，熟悉微气候环境工程设计流程及相关技能（冷热负荷计算、机房气流组织设计、新风系统设计、精密空调选型、新风机组选型）。对机房常用暖通设备有一定的了解。
、
具有数据中心防雷接地工程方案规划能力，熟悉防雷接地工程设计流程及相关技能（防雷器的选型及安装，接地形式与方案设计，机房屏蔽工程设计，布线系统的合理优化）。
、
从事过数据中心机房工程专业三种不同类型的项目设计与调试一体化工作（设计深度要求达到施工图阶段）。类型包括：中大型（
平米）互联网数据中心，
中大型（
平米）政企数据中心，弱电机房或消控机房等。
、
精通
、
、
、
、等软件，具有排版能力。
、
熟悉本专业系统的相关工程设计以及工程验收规范，并能根据项目情况灵活运用。
、
身体健康，可以伴随工作节奏，自适应加班。并且可以在规定的时间内完成上级指派的任务，具有较大抗压能力。
、
本科以上学历，计算机网络、电子信息、通讯、电气相关专业。具有中级专业技术资格者优先考虑。
、
具有三年以上本行业专业技术经历（能力突出者可以酌情考虑适当放宽年限要求）。
"
51,大数据推荐系统工程师,北京三六九数动科技有限公司,北京-朝阳区,2.5-3万/月,五险一金/补充医疗保险/补充公积金/员工旅游/出国机会/股票期权/年终奖金/绩效奖金,在校生/应届生,本科,1000-5000人,"互联网/电子商务,计算机软件","岗位职责：
1.广告系统后台质量研发，偏重算法策略研究、设计与实现，参与到以下的工作中：广告素材(文本和图片)特征挖掘；
2.广告精准投放模型和策略的设计与实现；
3.广告A/BTest实验系统；
4.大规模并行机器学习系统建设。
岗位要求：
1.本科及以上学历，硕士、博士优先，3年以上相关工作经验；
2.具备扎实的数据结构和算法功底，编码强悍；
3.熟悉Linux开发环境，精通C/C++，熟悉Python、Java\Scala更好；
4.具有扎实的数据结构和算法功底；
5.熟练使用C/C++，Python，Java；
6.有广告、搜索引擎、推荐系统相关技术经验者优先；
7.较强学习能力、逻辑思维能力、具备良好的问题分析与解决能力；
8.善于沟通，工作积极主动，责任心强，具备良好的团队协作能力。
"
52,广告数据分析专员（可应届）,江苏虫洞电子商务有限公司,常州,5-8千/月,五险一金/节日福利/餐饮补贴/员工旅游/年终奖金/绩效奖金/专业培训,在校生/应届生,本科,50-150人,"互联网/电子商务,贸易/进出口","【岗位需求】跨境电商数据分析管培生
【岗位职责】
1、研究产品运营与广告数据，负责投放亚马逊平台的站内广告，根据产品listing建立广告方案；
2、负责亚马逊站内CPC运营推广，分析数据，研究推广策略并实施，增加店铺流量提高转化率；
3、选择精准的关键词, 确认合理的匹配方式和广告出价,控制和降低Acos, 提升广告销量；
4、及时了解Amazon最新的规则和政策的更新，在产品推广各时期，通过分析市场数据销量数据，做出针对性的运营决策；
5、诊断Listing，并及时反馈给运营，辅助运营优化，根据产品市场接受度，客诉反馈，主动推进产品优化与改良；
6、 依据Listing变动和竞争对手Listing变动，使用不同的策略进行投放调整；
7、统计广告消耗并做数据分析，制作广告周报及月报，分析合理性和下一部分运营策略。
【任职标签】
1、本科及以上学历，英语CET4及以上，专业不限，数理类、电商、国贸、市场营销、统计学、经济等均可；
2、具备较强的学习迁移能力，培训接受转化能力，无工作年限与工作经验硬性要求；
3、能够适应快速变化的企业环境，工作积极主动，有高度责任心，具有较强的团队合作能力、沟通能力、应变能力，能承受一定的工作压力；
具备以下条件者优先考虑：
①　极强的学习能力，执行力，自驱力，及目标管理能力；
②　对新事物极强的好奇心，较高的市场、用户及品牌敏感度；
③　极强的逻辑思维、数据分析能力，善于思考，擅长进行数据报表分析。
【薪酬福利】
1、优雅舒适的办公环境，专业且充满活力的团队；
2、在线培训系统E-learning全自制课程，定期分享会，营造全员学习氛围，助力个人竞争力快速提升；
3、公平完善的晋升机制，充分实现自我价值；
4、一年四次的涨薪评优，市场竞争力的薪酬，奖金、津贴；
5、多种多样的福利补贴：五险一金，餐补，电脑、团建、交通、停车等多项补贴。
6、法定节假日正常休息，带薪年假（入职即享），司龄假，让你尽情放飞自我。
7、年度旅游、户外拓展轰趴、运动俱乐部、团队聚餐、生日&节日福利，乐享工作与生活。
"
53,数据专员P,广州潭州教育网络科技有限公司,广州-天河区,5-8千/月,五险一金/员工旅游/专业培训/绩效奖金/年终奖金/弹性工作/定期体检/加班补贴/双休,1年经验,大专,1000-5000人,教育/培训/院校,"岗位职责：
1.针对各事业部、分公司业绩达成情况进行统计、分析及追踪；
2.销售数据分析的建立，数据分析报表的整合和规范、优化；
3.建立部门每日、周、月、季、年度数据分析报表；
4.组织公司的统计报告，检查统计数据的完整性、正确性，按上级主管部门要求报送规定的报表
5.上级主管交办的其他工作
任职要求：
1.全日制专科以上，22-28岁，统计学、数学、财务、计算机等相关专业及1年以上数据分析经验优先；’
2.熟悉常用数据库工具和数据常用分析工具（包含但不限于：SQLSERVER、ACCESS、R等）；
3.熟悉OFFICE办公软件，能熟练使用Word、Excel、PPT、Visio等工具，其中EXCEL需要非常熟练使用，并且会常用函数；
4.对数据敏感且有一定的数据分析能力；
5.积极学习行业知识，不断提出创新想法。
6.上班时间是下午1点到晚上10点，5点到6点是休息时间.
地址：广州天河区五山中公教育大厦22楼2206-8室  潭州教育
地铁：3号线五山站
"
54,数据维护师,南京未来高新技术有限公司,南京-江宁区,4.5-6千/月,五险一金/补充医疗保险/员工旅游/交通补贴/年终奖金/弹性工作,1年经验,大专,50-150人,计算机软件,"1、负责所有产品涉及到的配置文件的维护。
2、负责所有产品涉及到的基础数据的维护。
"
55,数据分析主管/专员,广东医柜智能科技有限公司,上海,6-8千/月,五险一金/专业培训/通讯补贴/交通补贴/弹性工作/年终奖金/绩效奖金,2年经验,大专,150-500人,医疗/护理/卫生,"岗位职责：
1、   负责公司运营数据收集、整理、汇总、分析；
2、   建立、完善公司运营数据库管理并提出优化意见；
3、   通过数据分析、挖掘运营规律，为营销中心提供及时有效数据支撑；
4、   负责客户档案及部门数据档案管理；
5、   月度、季度、年度运营数据报表制作；
6、   参与营销中心年度预算、决算事宜。
任职资格：
1、本科及以上学历，统计学、数学、计算机、经济学或档案学专业；
2、具备2年以上数据统计、分析实操经验；
3、熟练掌握各类办公软件，工作细致、认真、勤奋；
4、逻辑思维缜密、对数据敏感。
"
56,数据管理文员,深圳市灵珞车品有限公司,深圳-南山区,4.5-6.5千/月,五险一金/年终奖金/周末双休/员工旅游/带薪年假/定期体检/节日福利,在校生/应届生,大专,50-150人,"批发/零售,汽车及零配件","1.销售一线人员个人考核数据和业绩考核数据的统计、分析、提交。
2.经销区域考核激励结果的统计、提交。
1.市场销售、业务结算等数据的定期统计、分析、提交。
2.协助其他岗位完善销售、考核相关数据的调研分析。
1.协助推进经销商考核事务。
2.完成直接上级安排的工作相关其他事务。
1.熟悉Excel常用数据处理功能。
2.对数字敏感。
3.欢迎应届生。
管理岗、横向执行岗位调动。
1.诚信履约——信守承诺，言出必行。自2006年创始至今，灵珞没有一例失信记录（包括但不限于供应商货款、员工工资、奖金、离职补偿金，均按时合规足额支付）。
2.共同成长——人才是灵珞发展的基石！为有追求有潜质的员工提供成长的平台，培养人才、孵化梦想是灵珞对员工的高级尊重和终极承诺，只要你够牛，各级管理层均虚位以待，每一位员工的发展均没有天花板。
3.追求卓越——见微知著，5个90%连乘就已不及格。灵珞认为，追求卓越不是利益算计，而是与生俱来的使命！超越对手只是生存的起点，而超越自我才是灵珞的永恒追求。
1.尊约定，重事实，讲逻辑，对事不对人！
2．“人微言轻？”不存在！谁对听谁的！
3.工作以“解决问题”为核心，找问题、找原因、找方法！
4.定制度、建流程，工作有依据，协作不扯皮！
5.绩效考核凭案例、不打分，没人能给你穿小鞋！
6.弱化等级、相互尊重、平等轻松，坚守“不损人利己”的人品底线，杜绝办公室政治！
"
57,数据开发(下属企业业财项目),广汽商贸有限公司,广州-天河区,20-30万/年,五险一金/补充医疗保险/交通补贴/年终奖金/绩效奖金/专业培训/通讯补贴/定期体检/餐饮补贴/世界500强,3-4年经验,无学历要求,10000人以上,"汽车及零配件,贸易/进出口","任职要求：
"
58,大数据开发工程师,信必优(深圳)信息技术有限公司,杭州-拱墅区,0.9-1.4万/月,五险一金/朝九晚六/周末双休,3-4年经验,本科,1000-5000人,计算机软件,"岗位1：大数据流式计算开发人员，参与过flink相关项目择优。
岗位2：大数据开发，3年以上仓库开发经验，熟悉oracle及熟练掌握sql语言
全日制本科以上学历，毕业后3年以上经验。
"
59,中兴通讯培训讲师（数据通信）,南京中兴信雅达信息科技有限公司,成都-双流区,0.6-1万/月,福/利/面/议,2年经验,本科,50-150人,通信/电信/网络设备,"1、对国际、国内运营商和政企网客户进行中兴通讯数据通信产品的技术培训                        
2、对中兴通讯外包商合作方员工进行数据通信技术及产品知识培训                             
3、负责数通产品培训教材、授课PPT、培训考试试题的开发与审核；   
4.   负责培训实验环境的调测与准备； 
5.   完成团队内部同事间的技能专递以及领导安排的其他事项；   
任职要求：    
1.   全日制计算机、电子、通信等相关专业本科及以上学历；    
2.   两年以上的售后/售前技术支持、知识服务开发或知识服务培训交付工作经历相关工作经验；    
3.  能够快速的进行技术和产品学习进行培训交付；    
4.  熟悉数据通信技术原理，具备中兴通讯设备维护经验者优先。
5.  掌握客户沟通技巧，能用英语进行日常工作，口语表达流利者优先。    
"
60,大数据开发分析工程师(000514),北京华大智宝电子系统有限公司,北京-朝阳区,1.2-1.8万/月,五险一金/专业培训/定期体检/补充医疗保险/绩效奖金/餐饮补贴,3-4年经验,本科,150-500人,"计算机软件,电子技术/半导体/集成电路","岗位职责:
1. 结合公司业务需求，负责构建适合业务的用户画像体系
2. 参与搭建完整的业务数据挖掘系统，包括数据处理、准确性评估等。
任职资格:
1. 熟练掌握数据挖掘、机器学习的基础理论和方法，有丰富的相关研究经验
2.  掌握基于 Hadoop 大数据平台工具的开发与设计，熟悉Hive，Spark开发
"
61,大数据工程师(001947),北京辰安科技股份有限公司武汉分公司,武汉,1-1.5万/月,五险一金/补充医疗保险/免费班车/定期体检/年终奖金/股票期权/弹性工作/员工旅游/专业培训/绩效奖金,2年经验,本科,1000-5000人,"计算机软件,计算机服务(系统、数据服务、维修)","岗位职责:
1、负责平台级通用大数据中间件的设计和实现，基于公司大数据平台进行应用逻辑开发，并对具体业务场景下复杂海量数据应用的各项性能进行优化；
2、参与公司大型物联网项目中大数据应用的研发工作；
3、参与海量数据处理，业务数据体系的设计、数据统计、分析及数据建模；
4、负责与第三方数据治理平台/大数据平台进行数据对接的分析与规范设计。
任职资格:
1、本科及以上学历，两年以上大数据系统分析、设计和实施经验；
2、熟悉Hadoop生态，具有大型系统的设计经验，了解商业化平台和组件如cloudera, Hortonworks，FusionInsight ，Storm，Spark等；
3、具有良好的分析和解决问题能力，对攻关疑难问题具有浓厚兴趣,对新技术有钻研精神；
4、熟练使用java进行开发，掌握spring体系开发；
5、有scala，storm，python开发经验者优先；
6、有J2EE、SpringCloud开发经验，数据挖掘、机器学习相关经验者优先。
"
62,数据库工程师,上海群蚁信息科技有限公司,上海-长宁区,1.2-2万/月,五险一金/通讯补贴/年终奖金/弹性工作/定期体检/员工旅游/专业培训/交通补贴,3-4年经验,无学历要求,少于50人,"计算机服务(系统、数据服务、维修),计算机软件","数据库工程师旨在对项目的数据库系统进行设计、构建、维护的管理，数据库的应急策略制定、数据库集群的高可用性策略都是本职位的基本工作要求。还须对新型的分布式数据库、非关系型数据库进行方案落地性研究和实施交付。
"
63,数据分析师,飞亚达销售有限公司,深圳-南山区,1-1.7万/月,五险一金/带薪年假/节日福利/专业培训,3-4年经验,本科,1000-5000人,"多元化业务集团公司,批发/零售","岗位职责：
任职资格：
"
64,大数据工程师,天虹商场股份有限公司,深圳-南山区,1.5-2.5万/月,五险一金/餐饮补贴/绩效奖金,3-4年经验,本科,10000人以上,批发/零售,"岗位职责： 
1、主导大数据平台的设计与开发，解决海量数据面临的挑战。 
2、管理、优化并维护Hadoop、Spark等集群，保证集群规模持续、稳定。 
3、负责HDFS/hive/HBase的功能、性能和扩展，解决并实现业务需求。 
4、协助建立数据模型，对数据进行挖掘、优化及统计。 
岗位要求 
1、本科及以上学历，3年及以上大数据相关经验 ,
2、熟悉Hadoop/HBase/Spark/Storm/Hive，熟悉数据挖掘策略与算法. 
3、熟悉分布式系统设计范型，有大规模系统设计和工程实现的经验. 
4、数据控，善于发现问题、解决问题. 
5、对新兴技术有好奇心，有利用技术解决实际问题的热情，开源社区积极参与者优先。
"
65,数据部主管,南京薏凡特体育发展有限公司,南京-建邺区,1.2-2万/月,带薪年假/五险一金/交通补贴/餐饮补贴/专业培训,5-7年经验,大专,150-500人,贸易/进出口,"岗位职责：
1、管理并规划数据部门整体的发展方向，人员架构
2、负责数据获取、存储、分析到应用整个流程及结果的把控
3、整合公司的关键数据，建立并推动执行数据管理制度
4、负责具体业务场景下应用的数据报告，协助设计、商品、销售端改善自己
岗位职责的业务能力。
5、搭建公司关键数据监控体系，负责监控及反馈。
6、协助信息部门完成公司的信息化建设。
任职资格：
1、熟悉各种数据库（如sqlsever，mysql,oracle）,精通SQL语言。
2、至少会一种计算机语言：python/JAVA/R/VB
3、熟悉模型算法者更优。
4、有大型互联公司工作的经验者佳
5、5年以上工作经验
6、有带团队的经验者更佳
7、熟悉零售场景下人、货、场的数据分析
"
66,数据可视化UI设计师,武汉东方赛思软件股份有限公司,武汉-江汉区,4.5-6千/月,五险一金/补充公积金/员工旅游/交通补贴/年终奖金/股票期权/定期体检/提供工作餐/提供公寓住宿,在校生/应届生,本科,150-500人,计算机软件,"1、负责设计项目中系统的风格基调，各种交互界面、数据图表可视化、颜色，图标等相关元素的设计与制作。
2、根据产品需求，对产品的整体设计风格、交互体验、界面结构、操作流程等做出设计。
3、积极与开发沟通协作，推进界面及交互设计的最终实现。
4、负责公司物料，如宣传册、易拉宝等美术设计、创意和制作工作。
1、本科及以上学历，美术类相关专业，有扎实的美术功底和优秀的美术鉴赏能力，应届毕业生、有相关工作经验者均可投简历，有数据可视化、系统界面、DASHBOARD设计等相关设计工作经验者优先；
2、熟练掌握几种基本平面设计类工具，PS、AI、Sketch等。能够独立制作简单动效；
3、懂得基本html+CSS原理。能够独立切图和开发人员沟通协作，确保实现效果***化符合设计稿；
4、热爱设计，对各类软件的界面及交互设计有浓厚的兴趣，有良好的设计视觉表现力和想象力，有宽阔的设计观和设计视野；
5、有良好的团队合作精神，待人热忱，思维敏捷，有良好人际沟通能力和上进心；
6、责任心强、能承受一定的工作压力。
投递简历时请提供自己设计的web后台数据可视化、FUI、移动移动端的作品展示
工作时间：早九晚六，周末双休，法定节假日休息
1．五险一金，年终奖金，股票期权，带薪年假，健康体检，全勤奖，交通补助，下午茶；
2．餐饮福利：公司根据出勤情况为普通员工提供工作餐，未提供工作餐的发放就餐补贴。
3．住房福利：根据国家和当地政策法规，为员工缴纳住房公积金；公司提供员工宿舍（空调、热水器、洗衣机等配置齐全），工作满两年可申请无息购房借款，宿舍与无息购房贷款无缝对接，保障你的住房需求。
4．节日福利：端午、中秋等传统节日为全体员工发放节日物资或补贴；儿童节为员工14岁以下子女发放节日礼物。
5．旅游、拓展和培训：公司每年举办户外拓展、年会以及优秀员工旅游活动，不定期举办各类健身、团建、培训以及其他文体活动，以缓解员工工作压力，增进企业凝聚力和员工间的感情。
"
67,数据分析专员,三七互娱,广州,6-8千/月,福/利/面/议,在校生/应届生,本科,1000-5000人,网络游戏,"1、日常监控数据，实时发现并解决广告投放中出现的问题；
2、负责部门广告数据整理与分析，能够基于数据分析得到有价值的信息，为广告投放决策提供数据支持；
3、收集并拓展游戏行业内数据报告；
4、完成部门日常的其他数据支撑工作；
任职要求：
1、本科以上学历，数据分析专业相关（理学、统计学专业优先）；
2、数据分析和逻辑能力优秀，熟悉Excel各项分析与统计，掌握基础数据分析工具；
3、做事认真细心，有上进心，有责任感，能承受工作压力，适应游戏公司的快节奏；
4、熟悉游戏产品，或具有相关游戏分析相关工作经验优先。
"
68,数据分析师,中国联合网络通信有限公司广东省分公司,广州-天河区,1-1.5万/月,五险一金/补充医疗保险/重疾保险/交通补贴/餐饮补贴/通讯补贴/专业培训/绩效奖金/年终奖金/定期体检,2年经验,本科,1000-5000人,通信/电信/网络设备,"岗位职责：
1.负责数据仓库与业务情景分析的构建、维护、部署和评估；
2.负责业务数据分析需求的调研、分析及实现；
3.根据需求进行系统设计和详细设计，承担核心模块和核心功能开发；
4.熟练使用SQL，使用各类数据分析工具，分析报表，能快速对数据分析输出结果；                                 
5.拓展数据对用户模型精准度，实现动态处理。
岗位要求：
1.全日制重点本科及以上学历，具备良好的数据敏感度，能从海量数据提炼核心结果，有数据分析、挖掘、清洗和建模的经验，1年以上开发经验；
2.熟悉Oracle、MySQL等主流数据库，具有良好的SQL语言开发技能，掌握存储过程、函数等开发技术；
3.熟悉Linux、shell，python脚本；
4.熟悉hadoop，HDFS、Hive、Sqoop大数据平台；
5.具备良好的学习能力和分析解决问题能力。
"
69,数据库管理员(oracle dba),甲骨文（中国）软件系统有限公司,福州,面议,五险一金/补充医疗保险/员工旅游/专业培训/绩效奖金/弹性工作/定期体检,5-7年经验,本科,500-1000人,计算机软件,"Oracle Advanced Customer Service
RESPONSIBILITIES
1. Develop  database architectural strategies at the modeling, design and  implementation stages to address business or industry requirements.
2.  Recommend proactive maintenance and operational practices for improving  database availability, performance, scalability, maintain ability,  agility and security
3. Provide professional advice to client on  solution architecture approaches, deployment considerations, production  support measures, and knowledge transfer
4. Collaborate with system  architects, software architects, design analysts, and others to  understand business or industry requirements
5. Create and enforce database development standards
6. Act as a lead on technical troubleshooting, root cause analysis and performance analysis
"
70,数据分析师,武汉新东方学校,武汉-武昌区,5-8千/月,出国机会/专业培训/员工旅游/定期体检/绩效奖金/五险一金/餐饮补贴/年终奖金/弹性工作,2年经验,本科,1000-5000人,教育/培训/院校,"1、定期提供运营报表：对业务部门和其他内部运营健康指标的数据需求进行整理、分析，提供定期运营报表；
2、专项分析报告：为公司各部门的运营管理提供数据支持，提出优化建议，制定数据分析工作流程及方法优化方案；
3、高阶分析报告：针对业务问题/需求，分析产品、机构、客户等数据，建立统计。
1、本科及以上学历，统计、数学、计算机等专业背景优先；
2、熟悉各种数据处理软件和分析工具，掌握2种及以上数据分析工具；
4、良好的逻辑思维与业务分析能力；
5、良好的团队内外沟通能力、陈述表达能力；
6、适应团队合作，责任心强；
7、从事数据分析相关工作经验一年以上。
1、公司缴纳五险一金（入职试用期内即开始办理养老、医疗、失业、工伤、生育保险及住房公积金），补充商业保险；
2、可享受5-20天带薪年假，国家法定节假日休假，员工生日假、婚假、产假、陪护假、哺乳假；
3、节日礼品、礼金（春节、端午节、教师节、中秋节等） 、生日、结婚及生育礼金，儿童节子女礼品，高温补贴；
4、年度体检，年度旅游（迪拜、泰国、中国台湾、日本、韩国等线路）；
5、员工及子女免费报班；
6、公司提供良好的职业培训和职业发展平台以及美国、英国等国学习、游学机会。
"
71,客户服务部-后台数据质检专员,成都新东方学校,成都-武侯区,4-5千/月,五险一金/专业培训/定期体检/出国机会/绩效奖金/员工旅游,1年经验,本科,10000人以上,教育/培训/院校,"此岗位工作地址为：成都新东方学校总部（成都市武侯区桐梓林新希望大厦4楼）
岗位职责： 
1.批件业务办理（报班、返款、优惠、退班等业务）
2.制作课程费用优惠（系统自带优惠、员工优惠、特殊优惠等）
3.OA（办公自动化系统）系统流程申请处理
4.前台行为规范抽检、呼叫录音抽检、线上咨询抽检
5.审计单据质检
任职资格：
1.本科及以上学历。有教育行业、培训咨询工作经验者优先。 
2.有较强的学习能力，有积极向上的心态，能承受一定的工作压力。逻辑性强。 
3.有较强的团队协作能力。 
4.有良好的沟通表达能力，善于使用办公软件撰写方案。 
5.熟练使用word、excel等办公软件，对数据分析有一定基础。 
6.工作热情主动，有良好的服务意识，有一定的亲和力，认可教育行业。 
工作时间：
【每天9:00-18:00】（每周休息两日） 
薪资福利： 
1、薪资由底薪、餐补、绩效（月度、季度）及补贴等部分构成。（4000-5000） 
2、享受带薪年假、病假、产假等一系列福利待遇及正常假期。 
3、享受节日礼金、生日、结婚及生育等福利待遇。 
4、按照国家规定，统一缴纳社保（五险）和住房公积金。 
5、每年享受一次体检。 
6、有机会享受专业的职业技能培训、发展培训。 
7、每年两次出游活动（春游、秋游），有机会体验全球视野的旅行，工作的同时了解国际文化。 
8、员工（及亲属）在员工在岗期间，均可享受课程培训优惠；保证员工及家属可以不断学习、进步 
9、完善的职业晋升通道。 
10、培训***天即算薪资，入职后即可享受完善的培训。 
培训&发展： 
1.职业培训： 
（部门内）完善的入职培训体系/实际的系统操作培训。培训期间，全程安排培训导师陪同 
（学校内）新员工入职培训，了解企业文化 
定期员工培训（半年、一年）等，增强团队意识，深入了解学校各个项目等 
2. 职业发展： 
部门内职业发展通道：客服顾问→区域组长→区域主管→部门经理→部门总监 
部门间人才培养及输出
每年都组织优才计划、后备人才计划等各类人才发展计划； 
应聘流程：
1、应聘者请将个人简历、近照及薪资期望发送至招聘邮箱。 
2、人力资源部将在收到应聘资料后3个工作日内电话邀请简历筛选合格者参加面试。 
3、面试流程：初试-复试-终审。（如无特殊情况，可在同一天内完成） 
"
72,市场数据调研员,深圳新东方学校,深圳-南山区,10-15万/年,福/利/面/议,2年经验,本科,500-1000人,教育/培训/院校,"【岗位职责】
1.熟悉深圳市地理环境、商圈布局、公办、民办学校布局等； 
2.负责深圳市公民办学校、竞品、竞业等情况调研，评估各学校情况；
3.负责学校市场潜力的研究，评估各细分市场市场潜力和业务拓展空间等；
4.负责行业竞争的研究，分析各细分市场竞争对手的差异化竞争力和营销策略等； 
5.负责学校既有客户和潜在客户的需求分析，并根据以上信息撰写调研数据分析报告； 
6.负责数据规划、数据的计算和分析，为公司战略布局，锁定拓展区域，制定选址计划提供数据支持；
7.根据学校的需要独立承担部分数据课题。
【岗位要求】
1.学历要求 本科及以上学历；
2.专业要求 统计学、数学、计算机、理工科背景优先；熟悉教育行业优先；
3.所需知识及技能 熟练使用SQL、R、Python中一种及以上数据分析工作；
4.工作经验 有数据处理的工作经验优先； 
5.个性品质 工作主动、认真负责、执行力强，思维敏捷、逻辑清晰，具有良好的团队协作精神。
【校区分配】
南山区TCL大厦B座11楼新东方。
【工作时间及薪酬】
1.工作时间：周末双休；9:00-18:00
2.薪酬：固定薪酬10K
"
73,数据主管（K12教育）,新东方教育科技集团有限公司,北京,0.8-1万/月,五险一金/员工旅游/定期体检/餐饮补贴,在校生/应届生,本科,10000人以上,教育/培训/院校,"1．  例行周期数据分析项目，包括数据整理、统计及分析，定期输出报表，提出产品和运营策略的优化建议
2．  负责建立和完善业务数据观测指标体系，并能随着业务的新变化及时作出调整。
3．  基于对公司业务的深入理解和分析，为公司运营决策、产品方向、内容方向提供数据支持；
4．  通过数据层面的不断驱动，不断优化产品内容提升和用户体验提升，优化用户数据分析模型。
1. 2020年应届毕业生，统招本科及以上学历，财务、统计相关专业优先；
2. 能熟练应用办公软件，独立进行数据加工、处理、分析和展现；
3. 有较好的逻辑思维水平、较强的理解与表达能力，善于对规律及经验等进行归纳总结。
"
